id,url,title,image_url
promo-entertainment-hub,https://www.bondivet.com/promo/entertainment-hub,Stay Connected with Bondi Vet Show on Entertainment Hub,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-life,https://www.bondivet.com/promo/bondi-vet-life,Bondi Vet Life - Ultimate Membership Program for Pet Owners,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-bondi-vet-q-and-a,https://www.bondivet.com/promo/bondi-vet-q-and-a,Ask Bondi Vet a Question,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-emergency-vet,https://www.bondivet.com/promo/emergency-vet,Emergency Vet Services Hotline,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-book-online-vet,https://www.bondivet.com/promo/book-online-vet,Book Online Vet Consultation,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-subscribe-exclusive-content,https://www.bondivet.com/promo/subscribe-exclusive-content,Sign up here for exclusive content,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-subscribe-10-off,https://www.bondivet.com/promo/subscribe-10-off,Join now to receive $10 off your first order,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-exclusive-bondivet-content3,https://www.bondivet.com/promo/exclusive-bondivet-content3,Exclusive content from Bondi Vet Episode Three,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-2-exclusive-bondivet-content,https://www.bondivet.com/promo/2-exclusive-bondivet-content,Exclusive content from Bondi Vet Episode Two,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-exclusive-bondivet-content1,https://www.bondivet.com/promo/exclusive-bondivet-content1,Exclusive content from Bondi Vet episode one,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-subscribe-exclusive-bondivet-content,https://www.bondivet.com/promo/subscribe-exclusive-bondivet-content,Join now to receive exclusive content,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
promo-budgetdirect,https://www.bondivet.com/promo/budgetdirect,Budget Direct page,https://marketplacer.imgix.net/Hj/rUN-0pOv0ZjCM9t27FG9BySTQ.jpg?auto=format&fm=pjpg&fit=max&q=90&w=1600&h=1000&s=ecb1d80f2cfd0b40d941107a4bf427ef
